STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/25/1990,10.07,0,0,0,,45,35,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/26/1990,17,0,0,0,,55,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/27/1990,12.08,0,0,0,,43,27,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/28/1990,9.4,0,0,0,,51,28,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/29/1990,12.3,0.05,0,0,,46,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/30/1990,15.88,0.61,0,0,,40,35,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/31/1990,6.93,0.05,0,0,,45,38,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/1/1990,7.16,0,0,0,,44,41,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/2/1990,9.62,0.02,0,0,,48,42,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/3/1990,15.88,1.11,0,0,,46,42,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/4/1990,18.57,0.01,0,0,,48,41,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/5/1990,14.99,0,0,0,,57,41,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/6/1990,11.41,0.08,0,0,,53,40,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/7/1990,14.09,0.2,0.5,0,,48,33,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/8/1990,13.2,0,0,0,,51,36,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/9/1990,13.87,0,0,0,,54,37,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/10/1990,17.67,0.07,0,0,,57,45,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/11/1990,19.46,0.14,0,0,,60,40,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/12/1990,12.53,0,0,0,,51,38,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/13/1990,12.53,0,0,0,,49,34,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/14/1990,11.41,0.08,0,0,,51,35,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/15/1990,8.95,1.52,0,0,,56,40,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/16/1990,12.3,0,0,0,,64,47,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/17/1990,15.21,0.15,0,0,,66,41,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/18/1990,14.54,0,0,0,,54,37,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/19/1990,12.3,0,0,0,,54,38,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/20/1990,15.21,0,0,0,,56,43,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/21/1990,8.95,0.17,0,0,,59,50,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/22/1990,10.74,0,0,0,,66,46,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/23/1990,10.29,0,0,0,,79,53,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/24/1990,10.51,0,0,0,,58,47,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/25/1990,6.49,0.11,0,0,,56,46,,
